x,y
0,2.7731204119827217
1,0.8886362429204218
2,4.862603249595277
3,2.839860426148903
4,5.302277620604431
5,3.633706491689218
6,2.996709074448523
7,5.667898205835665
8,3.5426052459676893
9,3.7732736706732157
10,2.4185135695718363
11,5.645169719777116
12,6.203830384407205
13,5.267735559898764
14,2.486926971282433
15,2.939792381944339
16,5.797112279928628
17,3.4558200556921546
18,3.942782721196127
19,2.4388483897625557
20,6.7487400510837
21,5.125926689837467
22,3.1594612226993064
23,6.9793399366038065
24,6.66824729707975
25,3.481318436296305
26,7.575315240756947
27,7.782952931170261
28,6.00744755130359
29,7.002954776107273
30,7.228374434329712
31,4.974757643794739
32,8.539303291084037
33,6.827962615369639
34,7.124303599354525
35,6.982619560568169
36,5.682797010116165
37,9.145427240958458
38,7.137140327812465
39,6.460231867592631
40,5.53377656212664
41,6.385425688895451
42,6.933304077968421
43,5.177420308004773
44,7.810964505487947
45,7.1720364092682685
46,9.584161086726223
47,10.231950707982717
48,10.445722414660459
49,9.902119366353185
50,7.537670795699384
51,8.449758948410384
52,9.67973470882013
53,8.777056021346535
54,10.216141033558875
55,8.728309568697993
56,7.236841682437577
57,7.498432026678385
58,11.24543017926489
59,7.262446934982546
60,10.086336476396163
61,7.121110535301044
62,11.373955913517857
63,8.604066154441467
64,12.40322762585339
65,7.799085079116722
66,9.93007691666448
67,10.136614061353193
68,12.034360820443574
69,8.305295486523223
70,9.002485669245084
71,11.213674553762635
72,11.484819141628865
73,11.959771323994175
74,12.13490069249211
75,9.481709676601263
76,9.367662327251956
77,11.259463386001173
78,9.644219278280111
79,10.935136030453927
80,12.097558323736596
81,11.182879690530763
82,13.778969469050596
83,13.224870159568711
84,10.363816276056744
85,11.882464200962986
86,13.682111079027901
87,10.613338817308994
88,14.857735377782753
89,11.94377361212189
90,12.81532185497778
91,13.492714001614724
92,10.786778188054877
93,11.253652412145755
94,14.20652309775615
95,13.322049223306552
96,14.333558088373884
97,15.078538357438253
98,15.301491146216385
99,15.746461498114332
